LAB
34 // 6

0 12  1 0 2
12 4  2 0 2
16 4  3 0 2 
20 4  4 0 2 
24 4  5 0 2
28 4  6 0 2

18 21 20 23 0
20 23 20 28 0
20 28 18 30 0
18 30 14 30 0
14 30 12 28 0
12 28 12 26 0
12 26 12 25 1
12 25 12 23 0
12 23 14 21 0
14 21 15 21 0
15 21 17 21 2
17 21 18 21 0

17 18 17 21 0
17 21 15 21 1
15 21 15 18 0
15 18 17 18 3

17 16 17 18 5
17 18 15 18 2
15 18 15 16 4
15 16 17 16 0

15 16 15 18 2
15 18 11 18 0
11 18 11 16 8 
11 16 15 16 0

19 16 19 18 6
19 18 17 18 0
17 18 17 16 3
17 16 19 16 0

22 16 22 18 7
22 18 19 18 0
19 18 19 16 5
19 16 22 16 0 
